x1,x2,y
0.771320643,0.020751949,-1
0.633648235,0.748803883,1
0.498507012,0.224796646,-1
0.198062865,0.760530712,-1
0.169110837,0.088339814,1
0.685359818,0.953393346,1
0.003948266,0.512192263,-1
0.812620962,0.612526067,-1
0.721755317,0.291876068,-1
0.917774123,0.714575783,-1
0.542544368,0.142170048,-1
0.37334076,0.674133615,1
0.441833174,0.434013993,-1
0.617766978,0.513138243,-1
0.650397182,0.601038953,-1
0.805223197,0.521647152,-1
0.908648881,0.319236089,-1
0.090459349,0.300700057,-1
0.113984362,0.828681326,-1
0.046896319,0.626287148,-1
0.547586156,0.819286996,1
0.19894754,0.856850302,1
0.351652639,0.754647692,1
0.295961707,0.88393648,1
0.325511638,0.165015898,1
0.392529244,0.093460375,1
0.821105658,0.15115202,-1
0.384114449,0.944260712,1
0.987625475,0.456304547,-1
0.826122844,0.251374134,-1
0.597371648,0.90283176,1
0.534557949,0.590201363,1
0.039281767,0.357181759,-1
0.07961309,0.305459918,-1
0.330719312,0.773830296,1
0.039959209,0.429492178,-1
0.314926872,0.636491143,-1
0.34634715,0.043097356,1
0.879915175,0.763240587,-1
0.878096643,0.417509144,-1
0.605577564,0.513466627,-1
0.597836648,0.262215661,-1
0.300871309,0.025399782,1
0.303062561,0.242075875,-1
0.557578189,0.56550702,1
0.475132247,0.292797976,-1
0.064251061,0.978819146,1
0.339707844,0.495048631,-1
0.977080726,0.440773825,-1
0.318272805,0.519796986,-1
0.57813643,0.853933751,1
0.068097274,0.464530808,-1
0.781949119,0.71860281,-1
0.58602198,0.037094413,-1
0.350656391,0.563190684,-1
0.299729872,0.512334153,-1
0.673466925,0.159193733,-1
0.05047767,0.337815887,-1
0.108063773,0.178902809,1
0.885827096,0.365364971,-1
0.218769349,0.75249617,-1
0.106879584,0.744603241,-1
0.469785293,0.598255671,1
0.147620192,0.184034822,1
0.645072126,0.048628006,-1
0.248612508,0.542408516,-1
0.226773343,0.381411535,-1
0.922232787,0.925356873,1
0.566749925,0.533470885,-1
0.014860025,0.977899263,-1
0.573028904,0.791756996,1
0.56155736,0.877335242,1
0.584195829,0.708849826,1
0.148533451,0.428450739,-1
0.693890066,0.104619745,-1
0.439605238,0.166202148,-1
0.506978629,0.819035864,1
0.090106735,0.800068751,-1
0.565126354,0.589347712,1
0.198100657,0.436118255,-1
0.295903762,0.037557676,1
0.03068484,0.453105,-1
0.744864077,0.557295406,-1
0.3851136,0.168072798,1
0.838261321,0.599051797,-1
0.782714818,0.848509182,1
0.603162976,0.781060617,1
0.615736876,0.021165191,-1
0.75046461,0.176042133,-1
0.458514206,0.513122708,-1
0.48402089,0.844385795,1
0.174813895,0.014634875,1
0.848764072,0.742674577,-1
0.456697535,0.416898407,-1
0.116729511,0.338679133,-1
0.094659041,0.715830873,-1
0.077085404,0.205950258,-1
0.573776231,0.293831555,-1
0.655726743,0.803568348,1
0.351213503,0.093440377,1
0.813316084,0.784866718,-1
0.393419112,0.864479194,1
0.384030768,0.257302887,-1
0.82940192,0.736382704,-1
0.507600908,0.644326615,1
0.213186565,0.895708949,1
0.965946252,0.317001562,-1
0.865552618,0.310283707,-1
0.025263945,0.049195158,1
0.184626838,0.069033342,1
0.257475423,0.913581732,1
0.457849512,0.130211789,-1
0.809891665,0.40346984,-1
0.024432645,0.856831043,-1
0.274294819,0.709105964,-1
0.355772343,0.794309062,1
0.844618861,0.538147517,-1
0.559086516,0.122509981,-1
0.377641919,0.428747329,-1
0.511208646,0.89176257,1
0.300210612,0.396441879,-1
0.793273233,0.412276077,-1
0.18486755,0.840247316,1
0.5692714,0.060050206,-1
